opponent,games,wins,draws,losses,score,pct,elo_diff,elo_err95
Reckless 0.9.0,20,0,20,0,10.0,50.00,-0.0,0.0
Cinder 0.6.1,21,0,21,0,10.5,50.00,-0.0,0.0
Triumviratus 7.0,20,0,20,0,10.0,50.00,-0.0,0.0
Halogen 16,10,0,10,0,5.0,50.00,-0.0,0.0
Alexandria 9.0.0,22,0,22,0,11.0,50.00,-0.0,0.0
Coda 0.9.3,20,0,20,0,10.0,50.00,-0.0,0.0
Quanticade Cronus 3.0,11,0,11,0,5.5,50.00,-0.0,0.0
PlentyChess 7.0.0,22,0,22,0,11.0,50.00,-0.0,0.0
Stormphrax 8.0.0,20,0,20,0,10.0,50.00,-0.0,0.0
Astra 7.0,16,0,16,0,8.0,50.00,-0.0,0.0
pawnocchio 2.0.1,24,0,24,0,12.0,50.00,-0.0,0.0
Hobbes 3.0,20,0,20,0,10.0,50.00,-0.0,0.0
Viridithas 20.0.0,20,0,20,0,10.0,50.00,-0.0,0.0
Tarnished 6.0-Eternal,14,0,14,0,7.0,50.00,-0.0,0.0
Obsidian 16.0,22,0,21,1,10.5,47.73,-15.8,31.1
Stockfish 19,20,0,19,1,9.5,47.50,-17.4,34.2
Berserk 14,14,0,13,1,6.5,46.43,-24.9,49.2
TOTALE,316,0,313,3,156.5,49.53,-3.3,3.7
